"Subj","ROI","Cond","Beta"
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",-0.1868
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",-0.04432
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",-0.001826
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.2835
"sub-982347","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",-0.3184
"sub-982347","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",-0.3127
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","AllFirst",0.1363
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","AllFirst",0.1479
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","CloseRepeat",0.05547
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","CloseRepeat",0.03177
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","DistantRepeat",0.1797
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","DistantRepeat",0.1845
"sub-995905","L_HEAD_DGCA23_HEAD_SUB_14","ExactRepeat",0.1058
"sub-995905","R_HEAD_DGCA23_HEAD_SUB_15","ExactRepeat",0.02773
