"Subj","ROI","Cond","Beta"
"sub-105662","L_DGCA3_NA","AllFirst",-0.0438
"sub-105662","R_DGCA3_NA","AllFirst",-0.07213
"sub-105662","L_HEADCA1_NA","AllFirst",-0.1564
"sub-105662","R_HEADCA1_NA","AllFirst",-0.135
"sub-105662","L_HEADDGCA23_NA","AllFirst",-0.176
"sub-105662","R_HEADDGCA23_NA","AllFirst",-0.1692
"sub-105662","L_HEADSUB_NA","AllFirst",-0.1586
"sub-105662","R_HEADSUB_NA","AllFirst",-0.07741
"sub-105662","L_SUB_NA","AllFirst",-0.1108
"sub-105662","R_SUB_NA","AllFirst",-0.1163
"sub-105662","L_CA12_NA","CloseRepeat",0.03475
"sub-105662","R_CA12_NA","CloseRepeat",0.002922
"sub-105662","L_DGCA3_NA","CloseRepeat",0.0939
"sub-105662","R_DGCA3_NA","CloseRepeat",0.01358
"sub-105662","L_HEADCA1_NA","CloseRepeat",-0.03961
"sub-105662","R_HEADCA1_NA","CloseRepeat",-0.07148
"sub-105662","L_HEADDGCA23_NA","CloseRepeat",-0.07009
"sub-105662","R_HEADDGCA23_NA","CloseRepeat",-0.001679
"sub-105662","L_HEADSUB_NA","CloseRepeat",-0.06752
"sub-105662","R_HEADSUB_NA","CloseRepeat",0.03119
"sub-105662","L_SUB_NA","CloseRepeat",-0.02079
"sub-105662","R_SUB_NA","CloseRepeat",-0.04695
"sub-105662","L_CA12_NA","DistantRepeat",-0.06818
"sub-105662","R_CA12_NA","DistantRepeat",0.05447
"sub-105662","L_DGCA3_NA","DistantRepeat",0.04622
"sub-105662","R_DGCA3_NA","DistantRepeat",-0.07639
"sub-105662","L_HEADCA1_NA","DistantRepeat",-0.09323
"sub-105662","R_HEADCA1_NA","DistantRepeat",-0.136
"sub-105662","L_HEADDGCA23_NA","DistantRepeat",-0.2109
"sub-105662","R_HEADDGCA23_NA","DistantRepeat",-0.109
"sub-105662","L_HEADSUB_NA","DistantRepeat",-0.1817
"sub-105662","R_HEADSUB_NA","DistantRepeat",-0.1051
"sub-105662","L_SUB_NA","DistantRepeat",-0.09865
"sub-105662","R_SUB_NA","DistantRepeat",-0.2532
"sub-105662","L_CA12_NA","ExactRepeat",0.007903
"sub-105662","R_CA12_NA","ExactRepeat",-0.01572
"sub-105662","L_DGCA3_NA","ExactRepeat",0.001695
"sub-105662","R_DGCA3_NA","ExactRepeat",0.02989
"sub-105662","L_HEADCA1_NA","ExactRepeat",-0.0752
"sub-105662","R_HEADCA1_NA","ExactRepeat",-0.1203
"sub-105662","L_HEADDGCA23_NA","ExactRepeat",-0.201
"sub-105662","R_HEADDGCA23_NA","ExactRepeat",-0.1785
"sub-105662","L_HEADSUB_NA","ExactRepeat",-0.09688
"sub-105662","R_HEADSUB_NA","ExactRepeat",-0.03818
"sub-105662","L_SUB_NA","ExactRepeat",-0.1523
"sub-105662","R_SUB_NA","ExactRepeat",-0.008746
"sub-124846","L_CA12_NA","AllFirst",0.1742
